#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 26 999 99.0 99.0  1.62  7.14  5.72 275 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 00 56 999 99.0 99.0  1.69  8.33  5.65 267 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 01 26 999 99.0 99.0  1.75  7.69  5.80 274 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 01 56 999 99.0 99.0  1.69  7.14  5.57 274 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 02 26 999 99.0 99.0  1.71  7.69  5.72 274 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 02 56 999 99.0 99.0  1.63  7.69  5.88 275 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 03 26 999 99.0 99.0  1.61  5.88  5.96 276 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 03 56 999 99.0 99.0  1.73  7.69  6.37 278 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 04 26 999 99.0 99.0  1.66  7.69  6.23 274 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 04 56 999 99.0 99.0  1.59  7.14  6.22 278 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 05 26 999 99.0 99.0  1.66  8.33  6.39 278 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 05 56 999 99.0 99.0  1.56  6.67  6.20 278 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 06 26 999 99.0 99.0  1.56  7.69  6.31 276 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 06 56 999 99.0 99.0  1.54  7.14  6.35 278 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 07 26 999 99.0 99.0  1.40  6.67  6.34 276 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 07 56 999 99.0 99.0  1.32  6.25  6.26 275 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 08 26 999 99.0 99.0  1.40  7.14  6.45 274 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 08 56 999 99.0 99.0  1.34  7.14  6.41 281 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 09 26 999 99.0 99.0  1.21  6.67  6.39 275 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 09 56 999 99.0 99.0  1.28 10.53  6.68 275 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 10 26 999 99.0 99.0  1.32  5.88  6.54 286 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 10 56 999 99.0 99.0  1.26 11.11  6.79 274 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 11 26 999 99.0 99.0  1.33 11.11  6.70 269 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 11 56 999 99.0 99.0  1.30 10.53  6.43 272 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 12 26 999 99.0 99.0  1.38 10.53  6.46 271 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 12 56 999 99.0 99.0  1.21 10.53  6.15 271 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 13 26 999 99.0 99.0  1.22 16.67  5.91 251 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 13 56 999 99.0 99.0  1.27  5.88  5.77 282 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 14 26 999 99.0 99.0  1.23  5.88  5.29 282 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 14 56 999 99.0 99.0  1.25 10.53  5.44 268 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 01 15 26 999 99.0 99.0  1.32  9.88  5.57 269 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 01 15 56 999 99.0 99.0  1.26 11.11  5.29 262 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 01 16 26 999 99.0 99.0  1.32  9.88  5.39 271 9999.0 999.0  15.2 999.0 99.0 99.00
2021 01 01 16 56 999 99.0 99.0  1.33 15.38  5.40 260 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 01 17 26 999 99.0 99.0  1.32 15.38  5.65 262 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 01 17 56 999 99.0 99.0  1.30 12.50  5.73 269 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 01 18 26 999 99.0 99.0  1.31 15.38  5.70 264 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 01 18 56 999 99.0 99.0  1.22  8.33  5.97 278 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 19 26 999 99.0 99.0  1.15 14.29  6.65 264 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 19 56 999 99.0 99.0  1.12 15.38  7.09 260 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 01 20 26 999 99.0 99.0  1.13 15.38  7.29 260 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 20 56 999 99.0 99.0  1.04 14.29  7.26 261 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 21 26 999 99.0 99.0  1.16 14.29  8.16 252 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 21 56 999 99.0 99.0  1.15 14.29  8.26 255 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 22 26 999 99.0 99.0  1.11 15.38  8.38 260 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 23 26 999 99.0 99.0  1.09 15.38  8.68 252 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 01 23 56 999 99.0 99.0  0.99 10.53  8.10 269 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 00 26 999 99.0 99.0  1.08 13.33  8.00 261 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 00 56 999 99.0 99.0  1.18 14.29  8.33 258 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 01 26 999 99.0 99.0  1.21 14.29  8.21 262 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 01 56 999 99.0 99.0  1.29 11.76  7.74 271 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 02 26 999 99.0 99.0  1.29 12.50  7.48 262 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 02 56 999 99.0 99.0  1.21  9.88  6.91 275 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 03 26 999 99.0 99.0  1.18  8.33  6.72 279 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 03 56 999 99.0 99.0  1.13 15.38  6.31 254 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 04 26 999 99.0 99.0  1.19 12.50  6.45 267 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 04 56 999 99.0 99.0  1.10 12.50  6.08 268 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 05 26 999 99.0 99.0  1.13 16.67  6.56 258 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 05 56 999 99.0 99.0  1.10 15.38  6.69 257 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 06 26 999 99.0 99.0  1.07 11.76  6.73 275 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 06 56 999 99.0 99.0  1.11 16.67  6.87 254 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 07 26 999 99.0 99.0  1.09 16.67  6.80 257 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 07 56 999 99.0 99.0  0.99 15.38  6.48 258 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 08 26 999 99.0 99.0  0.96 15.38  6.48 258 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 08 56 999 99.0 99.0  1.06 14.29  7.39 255 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 09 26 999 99.0 99.0  1.06 14.29  7.32 264 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 09 56 999 99.0 99.0  0.98 12.50  6.97 265 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 10 26 999 99.0 99.0  1.02 13.33  7.17 261 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 02 10 56 999 99.0 99.0  1.01 15.38  7.36 251 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 02 11 26 999 99.0 99.0  0.97 10.53  7.13 268 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 02 11 56 999 99.0 99.0  0.95 11.76  7.56 260 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 02 12 26 999 99.0 99.0  0.93 14.29  7.38 255 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 02 12 56 999 99.0 99.0  0.92 15.38  7.30 250 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 02 13 26 999 99.0 99.0  0.88 16.67  7.26 245 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 13 56 999 99.0 99.0  0.91 15.38  7.52 255 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 14 26 999 99.0 99.0  0.88 14.29  7.55 257 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 14 56 999 99.0 99.0  0.90 14.29  7.70 260 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 02 15 26 999 99.0 99.0  0.91 15.38  7.50 257 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 02 15 56 999 99.0 99.0  0.90 10.53  7.50 271 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 16 26 999 99.0 99.0  0.88 15.38  7.59 261 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 16 56 999 99.0 99.0  0.92 13.33  7.95 264 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 17 26 999 99.0 99.0  0.96 11.76  8.00 267 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 17 56 999 99.0 99.0  1.00 13.33  8.20 267 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 18 26 999 99.0 99.0  1.04 15.38  8.16 261 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 18 56 999 99.0 99.0  1.06 13.33  8.58 262 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 19 26 999 99.0 99.0  1.05 11.76  8.05 272 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 02 19 56 999 99.0 99.0  1.00 20.00  7.86 252 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 02 20 26 999 99.0 99.0  1.03 20.00  8.34 261 9999.0 999.0  15.5 999.0 99.0 99.00
