time,mass_concentration_of_chlorophyll_in_sea_water_ctd,mass_concentration_of_chlorophyll_in_sea_water_ctd_qc_agg,z
UTC,microg.L-1,,m
2021-09-16T13:38:12Z,NaN,2,0
2021-09-16T13:38:25Z,3.52,1,0
2021-09-16T13:42:12Z,NaN,2,0
2021-09-16T13:42:25Z,3.45,1,0
2021-09-16T13:46:12Z,NaN,2,0
2021-09-16T13:46:25Z,3.45,1,0
2021-09-16T13:50:12Z,NaN,2,0
2021-09-16T13:50:25Z,3.42,1,0
2021-09-16T13:54:12Z,NaN,2,0
2021-09-16T13:54:25Z,3.42,1,0
2021-09-16T13:58:12Z,NaN,2,0
2021-09-16T13:58:25Z,3.46,1,0
2021-09-16T14:02:12Z,NaN,2,0
2021-09-16T14:02:25Z,3.42,1,0
2021-09-16T14:06:12Z,NaN,2,0
2021-09-16T14:06:25Z,3.35,1,0
2021-09-16T14:10:12Z,NaN,2,0
2021-09-16T14:10:25Z,3.45,1,0
2021-09-16T14:14:12Z,NaN,2,0
2021-09-16T14:14:25Z,3.36,1,0
2021-09-16T14:18:12Z,NaN,2,0
2021-09-16T14:18:25Z,3.37,1,0
2021-09-16T14:22:12Z,NaN,2,0
2021-09-16T14:22:25Z,3.43,1,0
2021-09-16T14:26:12Z,NaN,2,0
2021-09-16T14:26:25Z,3.54,1,0
2021-09-16T14:30:12Z,NaN,2,0
2021-09-16T14:30:25Z,3.51,1,0
2021-09-16T14:34:12Z,NaN,2,0
2021-09-16T14:34:25Z,3.54,1,0
2021-09-16T14:38:12Z,NaN,2,0
2021-09-16T14:38:25Z,3.55,1,0
2021-09-16T14:42:12Z,NaN,2,0
2021-09-16T14:42:25Z,3.57,1,0
2021-09-16T14:46:12Z,NaN,2,0
2021-09-16T14:46:25Z,3.57,1,0
2021-09-16T14:50:12Z,NaN,2,0
2021-09-16T14:50:25Z,3.57,1,0
2021-09-16T14:54:12Z,NaN,2,0
2021-09-16T14:54:25Z,3.49,1,0
2021-09-16T14:58:12Z,NaN,2,0
2021-09-16T14:58:25Z,3.71,1,0
2021-09-16T15:02:12Z,NaN,2,0
2021-09-16T15:02:25Z,3.84,1,0
2021-09-16T15:06:12Z,NaN,2,0
2021-09-16T15:06:25Z,3.85,1,0
2021-09-16T15:10:12Z,NaN,2,0
2021-09-16T15:10:25Z,3.73,1,0
2021-09-16T15:14:12Z,NaN,2,0
2021-09-16T15:14:25Z,3.64,1,0
