Date,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_Avg,SRP_1,SRP_2,SRP_3,SRP_4,SRP_5,SRP_6,SRP_Avg,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,POP_Avg,PON_1,PON_2,PON_3,PON_4,PON_5,PON_6,PON_Avg,POC_1,POC_2,POC_3,POC_4,POC_5,POC_6,POC_Avg,Temp,Chlorophyll,Salinity,picoeuk_ml,PNEconc_ml,Proconc_ml,Synconc_ml,JGI_DOI,JGI_Project_Name,JGI_Sequencing_Project_ID,JGI_Library_Name,JGI_Project_ID,NCBI_BioSample
1/11/2012,,,,,,,,,,,,,,,0.223,,0.252,,0.231,,0.235,3.733,,3.529,,,,3.631,27.357,27.476,,,,,27.416,14.662,3.219,33.032,9067.51,14429.07,21336.82,77391.85,10.46936/10.25585/60001365,Newport_SRmetag_120111.NP2,1308779,HSWSG,1308614,
1/12/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.644,3.099,33.032,,,,,,,,,,
1/13/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75,3.146,33.033,,,,,,,,,,
1/14/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.581,3.065,33.041,,,,,,,,,,
1/15/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.681,2.993,33.051,,,,,,,,,,
1/16/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.406,2.935,32.999,,,,,,,,,,
1/18/2012,,,,,,,,,,,,,,,0.612,0.631,0.636,0.554,0.676,0.606,0.619,6.083,6.14,6.711,6.425,6.34,5.212,6.152,74.933,51.621,45.626,23.646,43.794,,47.924,14.324,2.787,33.05,2171.81,14290.1,15648.26,48645.73,,,,,,
1/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.236,2.807,33.024,,,,,,,,,,
1/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.144,2.573,32.975,,,,,,,,,,
